iter	Passed	Remaining
413	3098	34318
414	3105	34307
415	3112	34295
416	3119	34281
417	3126	34269
418	3133	34256
419	3140	34242
420	3146	34227
421	3153	34213
422	3160	34199
423	3167	34187
424	3174	34172
425	3181	34158
426	3188	34147
427	3195	34131
428	3201	34116
429	3208	34099
430	3215	34090
431	3222	34074
432	3229	34063
433	3236	34054
434	3243	34041
435	3250	34027
436	3257	34011
437	3265	34014
438	3272	34003
439	3281	34006
440	3289	34008
441	3298	34012
442	3306	34014
443	3316	34032
444	3324	34030
445	3333	34035
446	3342	34044
447	3351	34049
448	3382	34280
449	3398	34361
450	3406	34356
451	3413	34344
452	3420	34330
453	3427	34315
454	3434	34304
455	3441	34293
456	3448	34281
457	3455	34269
458	3462	34256
459	3469	34240
460	3476	34228
461	3483	34216
462	3490	34202
463	3497	34188
464	3504	34174
465	3511	34166
466	3519	34159
467	3527	34162
468	3535	34160
469	3543	34154
470	3550	34143
471	3558	34140
472	3567	34139
473	3574	34131
474	3582	34127
475	3590	34122
476	3598	34118
477	3605	34112
478	3613	34105
479	3621	34102
480	3628	34094
481	3636	34084
482	3644	34079
483	3651	34071
484	3659	34065
485	3667	34065
486	3675	34059
487	3682	34051
488	3690	34046
489	3698	34038
490	3705	34028
491	3712	34017
492	3719	34007
493	3726	33995
494	3733	33981
495	3741	33972
496	3748	33961
497	3755	33949
498	3762	33940
499	3770	33931
500	3777	33918
501	3785	33914
502	3792	33909
503	3800	33901
504	3808	33897
505	3815	33887
506	3822	33878
507	3829	33866
508	3836	33850
509	3843	33838
510	3850	33825
511	3857	33816
512	3865	33806
513	3871	33792
514	3878	33779
515	3885	33763
516	3892	33750
517	3899	33737
518	3905	33722
519	3912	33706
520	3919	33694
521	3926	33686
522	3933	33673
523	3940	33663
524	3948	33657
525	3955	33644
526	3962	33631
527	3969	33617
528	3975	33603
529	3982	33588
530	3989	33574
531	3995	33559
532	4002	33546
533	4009	33532
534	4016	33519
535	4023	33506
536	4029	33493
537	4036	33478
538	4043	33464
539	4049	33449
540	4056	33436
541	4063	33422
542	4070	33409
543	4077	33395
544	4084	33385
545	4091	33374
546	4098	33362
547	4104	33346
548	4111	33334
549	4118	33324
550	4125	33313
551	4132	33300
552	4139	33289
553	4146	33277
554	4153	33263
555	4160	33250
556	4166	33237
557	4173	33226
558	4180	33213
559	4187	33199
560	4194	33186
561	4201	33175
562	4207	33161
563	4214	33146
564	4221	33138
565	4228	33126
566	4235	33113
567	4242	33100
568	4249	33093
569	4256	33080
570	4263	33067
571	4269	33054
572	4276	33043
573	4284	33033
574	4291	33024
575	4298	33017
576	4306	33009
577	4313	32998
578	4320	32988
579	4327	32979
580	4334	32968
581	4342	32960
582	4349	32951
583	4356	32944
584	4364	32935
585	4371	32925
586	4378	32915
587	4385	32907
588	4393	32900
589	4400	32889
590	4407	32879
591	4414	32873
592	4422	32865
593	4429	32855
594	4436	32848
595	4444	32840
596	4451	32833
597	4458	32823
598	4465	32811
599	4473	32802
600	4480	32792
601	4488	32788
602	4496	32784
603	4503	32775
604	4510	32767
605	4517	32757
606	4524	32745
607	4531	32732
608	4538	32720
